ksi_match_id,season,date,time,home_team_ksi_id,away_team_ksi_id,home_goals,away_goals,ground_id,status
757089,2025,2025-05-24,17:00,5731,5972,1,0,2,FT
685823,2025,2025-05-24,19:15,5364,5735,2,1,9,FT
768937,2025,2025-05-24,19:15,5734,5730,3,1,20,FT
624344,2025,2025-05-25,19:15,5733,5387,2,0,8,FT
768931,2025,2025-05-29,14:00,5734,5364,0,1,20,FT
768619,2025,2025-05-29,16:15,5366,5731,1,2,15,FT
669939,2025,2025-05-29,16:15,5388,5733,2,1,22,FT
631917,2025,2025-05-29,16:15,5387,5735,1,4,6,FT
765734,2025,2025-05-29,16:15,5972,5363,0,2,21,FT
739235,2025,2025-05-29,19:15,5730,5698,4,2,5,FT
766041,2025,2025-06-01,14:00,5698,5734,2,1,17,FT
757090,2025,2025-06-01,17:00,5731,5730,1,1,2,FT
624342,2025,2025-06-01,18:00,5733,5972,0,0,8,FT
768820,2025,2025-06-01,18:00,5735,5388,0,3,19,FT
631921,2025,2025-06-01,19:15,5387,5364,3,1,6,FT
768104,2025,2025-06-02,19:15,5363,5366,2,1,16,FT
741401,2025,2025-06-14,19:15,5730,5363,3,2,5,FT
768917,2025,2025-06-15,14:00,5734,5731,1,0,20,FT
669940,2025,2025-06-15,16:00,5388,5387,0,2,22,FT
765757,2025,2025-06-15,19:15,5972,5735,4,1,21,FT
768618,2025,2025-06-15,19:15,5366,5733,2,0,15,FT
685815,2025,2025-06-16,19:15,5364,5698,3,2,9,FT
624341,2025,2025-06-22,14:00,5733,5734,2,0,8,FT
757091,2025,2025-06-22,19:15,5731,5364,0,2,2,FT
768831,2025,2025-06-22,19:30,5735,5730,0,3,19,FT
669943,2025,2025-06-23,18:00,5388,5972,1,2,22,FT
631940,2025,2025-06-23,19:15,5387,5366,1,1,6,FT
768097,2025,2025-06-23,19:15,5363,5698,6,1,16,FT
757092,2025,2025-06-27,18:30,5731,5363,2,5,2,FT
738861,2025,2025-06-27,19:15,5730,5387,1,4,5,FT
768615,2025,2025-06-29,17:00,5366,5388,2,0,15,FT
768862,2025,2025-06-29,17:00,5734,5735,0,2,20,FT
766067,2025,2025-06-29,19:15,5698,5733,3,2,17,FT
685803,2025,2025-06-29,19:15,5364,5972,2,1,9,FT
765821,2025,2025-07-03,19:15,5972,5387,2,2,21,FT
768659,2025,2025-07-05,14:00,5735,5366,0,1,19,FT
768971,2025,2025-07-05,14:00,5734,5363,0,2,20,FT
692491,2025,2025-07-05,16:00,5388,5364,0,0,11,FT
766117,2025,2025-07-06,16:00,5698,5731,1,2,17,FT
624340,2025,2025-07-07,19:15,5733,5730,1,1,8,FT
624339,2025,2025-07-13,16:00,5733,5731,5,0,8,FT
692492,2025,2025-07-14,18:30,5388,5730,1,0,11,FT
768682,2025,2025-07-14,19:15,5735,5698,1,0,19,FT
765862,2025,2025-07-17,19:15,5972,5366,1,1,21,FT
632075,2025,2025-07-19,14:00,5387,5734,1,0,6,FT
757093,2025,2025-07-19,16:00,5731,5735,2,0,2,FT
685800,2025,2025-07-20,19:15,5364,5363,1,2,9,FT
757411,2025,2025-07-26,17:00,5698,5387,1,1,13,FT
768891,2025,2025-07-27,14:00,5734,5388,2,0,20,FT
768609,2025,2025-07-27,19:15,5366,5364,2,2,15,FT
768155,2025,2025-07-27,19:15,5363,5733,3,1,16,FT
739313,2025,2025-07-28,19:15,5730,5972,4,1,5,FT
692493,2025,2025-08-02,14:00,5388,5698,2,1,11,FT
632160,2025,2025-08-03,16:30,5387,5731,1,1,6,FT
624338,2025,2025-08-03,17:00,5733,5364,2,2,8,FT
768694,2025,2025-08-05,19:15,5735,5363,2,2,19,FT
765918,2025,2025-08-06,18:00,5972,5734,1,1,21,FT
768599,2025,2025-08-06,19:15,5366,5730,1,1,15,FT
768964,2025,2025-08-10,14:00,5734,5366,3,2,20,FT
757094,2025,2025-08-10,16:30,5731,5388,1,0,2,FT
685789,2025,2025-08-10,19:15,5364,5730,2,4,9,FT
768141,2025,2025-08-10,19:15,5363,5387,2,1,16,FT
624337,2025,2025-08-11,19:15,5733,5735,3,2,8,FT
757495,2025,2025-08-11,19:15,5698,5972,2,1,13,FT
692494,2025,2025-08-17,14:00,5388,5363,4,1,11,FT
739524,2025,2025-08-17,14:00,5730,5734,2,1,5,FT
765932,2025,2025-08-17,17:00,5972,5731,3,3,21,FT
768710,2025,2025-08-17,18:00,5735,5364,0,1,19,FT
632195,2025,2025-08-17,19:15,5387,5733,4,5,6,FT
768594,2025,2025-08-18,19:15,5366,5698,0,1,15,FT
757095,2025,2025-08-24,17:00,5731,5366,2,0,2,FT
624336,2025,2025-08-24,18:00,5733,5388,1,1,8,FT
757422,2025,2025-08-25,18:00,5698,5730,1,2,13,FT
685781,2025,2025-08-26,18:00,5364,5734,4,1,9,FT
768122,2025,2025-08-26,19:15,5363,5972,4,3,16,FT
768950,2025,2025-08-31,14:00,5734,5698,1,1,20,FT
765731,2025,2025-08-31,14:00,5972,5733,1,2,21,FT
692496,2025,2025-08-31,14:00,5388,5735,2,0,11,FT
741241,2025,2025-08-31,17:00,5730,5731,3,2,5,FT
685779,2025,2025-08-31,19:15,5364,5387,2,2,9,FT
768592,2025,2025-08-31,19:15,5366,5363,2,1,15,FT
768730,2025,2025-09-11,17:00,5735,5387,3,0,19,FT
624349,2025,2025-09-14,14:00,5733,5366,2,2,8,FT
757085,2025,2025-09-14,14:00,5731,5734,4,1,2,FT
757490,2025,2025-09-14,16:30,5698,5364,0,7,13,FT
768164,2025,2025-09-14,19:15,5363,5730,0,0,16,FT
768683,2025,2025-09-15,16:45,5735,5972,3,1,19,FT
631847,2025,2025-09-15,18:00,5387,5388,1,1,6,FT
